Metal,Group,n_type,n_analyte (RIU),Theta_res (deg)
Ag,negative,low,1.3482,63.77125065207074
Ag,negative,center,1.3492,63.86321255917591
Ag,negative,high,1.3502,63.955483672334374
Ag,positive,low,1.3471,63.67044644638246
Ag,positive,center,1.3481,63.76207100868074
Ag,positive,high,1.3491,63.85400292931664
Ag,positive,mean,-,63.76217346145995
Ag,positive,std,-,0.07493665537959544
Ag,positive,sensitivity_empirical,-,91.77824146709968
Ag,positive,sensitivity_theoretical,-,91.81046436853019
Ag,negative,mean,-,63.863315627860345
Ag,negative,std,-,0.07521285087993214
Ag,negative,sensitivity_empirical,-,92.1165101318268
Ag,negative,sensitivity_theoretical,-,92.15501092379394
Au,negative,low,1.3482,63.78249652022815
Au,negative,center,1.3492,63.8744836092265
Au,negative,high,1.3502,63.96678204829346
Au,positive,low,1.3471,63.681663444570916
Au,positive,center,1.3481,63.77331473308921
Au,positive,high,1.3491,63.86527210668647
Au,positive,mean,-,63.773416761448864
Au,positive,std,-,0.0749579571417892
Au,positive,sensitivity_empirical,-,91.80433105778663
Au,positive,sensitivity_theoretical,-,91.83046948933007
Au,negative,mean,-,63.874587392582704
Au,negative,std,-,0.07523428758137823
Au,negative,sensitivity_empirical,-,92.14276403266501
Au,negative,sensitivity_theoretical,-,92.17522987541714
Cu,negative,low,1.3482,63.66121733325258
Cu,negative,center,1.3492,63.752552485215055
Cu,negative,high,1.3502,63.844190921284856
Cu,positive,low,1.3471,63.5610951367571
Cu,positive,center,1.3481,63.65210031903312
Cu,positive,high,1.3491,63.74340540860569
Cu,positive,mean,-,63.65220028813197
Cu,positive,std,-,0.07442789038499766
Cu,positive,sensitivity_empirical,-,91.15513592430284
Cu,positive,sensitivity_theoretical,-,91.05315246985822
Cu,negative,mean,-,63.7526535799175
Cu,negative,std,-,0.07469868871876932
Cu,negative,sensitivity_empirical,-,91.48679401614798
Cu,negative,sensitivity_theoretical,-,91.3896622711171
