Metal,Group,n_type,n_analyte,Theta_res (deg)
Ag,negative,low,1.3471,63.698381924395
Ag,negative,center,1.3481,63.79020181930333
Ag,negative,high,1.3491,63.88233125695696
Ag,positive,low,1.3482,63.799402615212394
Ag,positive,center,1.3492,63.891561554557086
Ag,positive,high,1.3502,63.98403490458632
Ag,positive,mean,-,63.891666358118606
Ag,positive,std,-,0.07537585293140203
Ag,negative,mean,-,63.79030500021843
Ag,negative,std,-,0.07509703599221226
Au,negative,low,1.3471,63.73482257807818
Au,negative,center,1.3481,63.8266845138571
Au,negative,high,1.3491,63.91885075535346
Au,positive,low,1.3482,63.83588828506152
Au,positive,center,1.3492,63.92808553120361
Au,positive,high,1.3502,64.02059557786703
Au,positive,mean,-,63.92818979804405
Au,positive,std,-,0.07540647256730335
Au,negative,mean,-,63.826785949096255
Au,negative,std,-,0.0751292230078563
Cu,negative,low,1.3471,63.64012500349625
Cu,negative,center,1.3481,63.731388556454014
Cu,negative,high,1.3491,63.82295251941561
Cu,positive,low,1.3482,63.74053133653688
Cu,positive,center,1.3492,63.832125684081234
Cu,positive,high,1.3502,63.92402476302417
Cu,positive,mean,-,63.83222726121409
Cu,positive,std,-,0.07491091210874833
Cu,negative,mean,-,63.73148869312197
Cu,negative,std,-,0.0746390544099841
